Educ,YEAR,Age_grp,hmort,w.obs,obs,lnWealth.mean,lnWealth.sd,lnNrmWealth.mean,lnNrmWealth.sd,lnPermIncome.mean,lnPermIncome.sd,lnMortgage.mean,lnMortgage.sd,lnNrmMortgage.mean,lnNrmMortgage.sd,BASE_YR
HS,2013,"(65,70]",Has mortgage debt,2097149.8601371327,395,5.097813289939426,1.2213856654390463,1.1950907183701849,0.9692131156302386,3.9027225715692406,0.6899996255876097,4.179976519261886,0.9426241939414446,0.27725394769264483,0.8845416069071255,2019
HS,2013,"(70,75]",Has mortgage debt,1055821.662317833,206,5.070430271231722,1.3144494523981103,1.1584408966277715,0.8900034999077799,3.911989374603951,0.8256662852630369,4.007908380387508,0.9836653702063837,0.09591900578355703,0.9699930548236796,2019
HS,2013,"(75,80]",Has mortgage debt,721906.3997842895,106,5.012254306306092,1.072690825572849,1.3045101306567246,0.7761334791261187,3.7077441756493674,0.5639883331969958,3.494934200769269,1.207320452731483,-0.21280997488009873,1.0377054380183652,2019
HS,2013,"(80,85]",Has mortgage debt,622203.769764688,90,4.950857463047206,1.048668924662587,1.506188620784992,0.8970863888882683,3.4446688422622143,0.5742615199906312,3.9412417901500665,0.9731808588790924,0.4965729478878522,0.6679054809852224,2019
HS,2013,"(85,90]",Has mortgage debt,23178.168811880525,5,6.4380068605670075,0.002266562880249607,1.868234776843428,0.0999525359151396,4.569772083723579,0.10033456149469187,5.52299096950685,0,0.9532188857832707,0.10033456149469192,2019
HS,2013,"(90,95]",Has mortgage debt,32717.491739521276,5,7.040577974675691,0.14350038431099757,2.650482984176066,0.11953165159448965,4.390094990499625,0.08413319310213369,4.718618153836681,9.930136612989092e-16,0.32852316333705567,0.08413319310213381,2019
HS,2016,"(20,25]",Has mortgage debt,492825.70524231537,65,3.780044290406967,0.9856508694731192,-0.3565021113724834,0.8214053539696297,4.136546401779451,0.5918361253177524,4.05072748818711,1.2811347293068658,-0.08581891359234113,1.0016564410693292,2019
HS,2016,"(25,30]",Has mortgage debt,1296877.3383896588,210,4.091250733243362,1.1668922449077923,-0.16278949820169142,1.1899056660598148,4.254040231445053,0.44927448160907774,4.496606476146768,0.8718547053936627,0.24256624470171523,0.8849529567905755,2019
HS,2016,"(30,35]",Has mortgage debt,1915734.555083353,328,4.561140105849522,0.9929946308961977,0.22020015267389273,0.8912609903131734,4.34093995317563,0.563237987331196,4.715258037253196,0.6020038500312616,0.37431808407756595,0.6816519248534306,2019
HS,2016,"(35,40]",Has mortgage debt,2308092.4372290717,460,4.488976849461346,1.0740651802211363,0.1269032799857246,1.078148638636325,4.362073569475622,0.5649283716296917,4.55263299241571,0.9190927062168804,0.19055942294008804,0.8427214801393413,2019
HS,2016,"(40,45]",Has mortgage debt,2503404.528732326,534,4.86090720521534,1.2161996722952932,0.4102606430794122,1.0313072634012554,4.450646562135928,0.6044948314424263,4.638210111342644,0.8985427196901998,0.18756354920671678,0.860345407434362,2019
HS,2016,"(45,50]",Has mortgage debt,2255330.3005228667,488,5.017282472896337,1.241080425224251,0.5756703165216098,1.1819698043334892,4.441612156374727,0.5868300157590987,4.6773054390826765,0.9719220075594566,0.2356932827079495,0.871415431616655,2019
HS,2016,"(50,55]",Has mortgage debt,3464349.1289611976,819,5.292563734238898,1.2426695105212873,0.9357899771565246,1.0372051296143026,4.356773757082373,0.6592599379730149,4.494695205405091,1.0324117162074993,0.1379214483227184,0.9777055906818332,2019
HS,2016,"(55,60]",Has mortgage debt,2895083.076663231,713,5.694549606682136,1.2150692851124578,1.3256600773606761,1.0608125422116759,4.36888952932146,0.7509350046231041,4.254600868621587,1.2896902859145238,-0.11428866069987273,1.290837229353704,2019
HS,2016,"(60,65]",Has mortgage debt,2399552.9873053585,572,5.401067943244459,1.4284922084614542,1.0691489229454456,1.0513311220203394,4.331919020299013,0.7650067784986163,4.320488475790529,1.202165108219513,-0.011430544508484238,1.222743459066715,2019
HS,2016,"(65,70]",Has mortgage debt,2001933.915224597,414,5.078888806225414,1.381870974476378,1.0179194800645581,1.1692484641532206,4.060969326160855,0.7917438526028686,4.167362179894268,0.9563501223969058,0.1063928537334128,1.099474252572466,2019
HS,2016,"(70,75]",Has mortgage debt,945923.7549977194,194,5.218232720113976,1.2254471265002653,1.297267863340908,0.8262524617726451,3.9209648567730677,0.6504376928530519,4.32490707318125,1.0413133438650732,0.40394221640818245,0.8923360417326675,2019
HS,2016,"(75,80]",Has mortgage debt,1005999.660411333,146,4.729450693195419,1.3708712312899394,0.9202323953522576,1.163777275956581,3.8092182978431617,0.5233542783523993,3.8877460032894056,1.179583331939684,0.07852770544624389,0.9459888260660008,2019
HS,2016,"(80,85]",Has mortgage debt,380526.5347875311,60,5.194003225030941,1.4712814213194965,1.2767276720935474,1.1019563432890338,3.9172755529373933,0.604864781278906,4.47893735350774,0.8038466372124669,0.5616618005703461,0.9436506009056098,2019
HS,2016,"(85,90]",Has mortgage debt,246925.91964585907,39,5.463783585799308,1.3794727424854583,1.6408726267604865,1.0442408141517547,3.8229109590388215,0.6074143643975843,3.06710355077543,0.8729975041725783,-0.7558074082633914,0.7324953876086125,2019
HS,2016,"(90,95]",Has mortgage debt,38185.16880619041,5,4.345330130023375,0.14528564199252106,0.5755881904429815,0.27830076211624605,3.7697419395803933,0.29377370679115095,3.0573657352075827,0,-0.7123762043728108,0.29377370679115095,2019
HS,2019,"(15,20]",Has mortgage debt,104566.39597912585,10,2.880323395863009,0.3806490917021036,-1.0682270029275946,0.8021490660826772,3.948550398790603,0.4215024609941848,4.104842548526735,0.4124335570002211,0.15629214973613093,0.009068903993963715,2019
HS,2019,"(20,25]",Has mortgage debt,416681.1950975153,48,4.212031649948281,0.9067364323950295,0.337838397673626,0.8666811202934556,3.8741932522746545,0.4700812937365886,4.454953250155107,0.5591995105355763,0.580759997880453,0.4921309842157631,2019
HS,2019,"(25,30]",Has mortgage debt,1475418.2400848113,170,4.1309500480802255,1.1610836535614795,-0.16981606240230004,1.0495065724655301,4.300766110482526,0.45978601820653675,4.889251698274148,0.7896029752562915,0.5884855877916222,0.8136755928879332,2019
HS,2019,"(30,35]",Has mortgage debt,2060545.9200974884,282,4.47554444008954,1.0232560701067566,0.14659962210088176,0.9717368232164212,4.328944817988658,0.45864098485379196,4.673430101492242,0.9028734627500518,0.34448528350358415,0.9504125363320397,2019
HS,2019,"(35,40]",Has mortgage debt,2301683.5843817024,445,4.853021980104558,1.3279765272408603,0.3510502329053404,1.1187140409833838,4.501971747199218,0.6410110595301594,4.919741133314537,0.7763588808328623,0.4177693861153196,0.719520597928636,2019
HS,2019,"(40,45]",Has mortgage debt,2238306.3995069405,414,5.038719389434708,1.1880045497074123,0.5066148524218853,1.1465159324751955,4.532104537012822,0.603951439652021,4.768256190177738,0.9171969684784771,0.23615165316491543,0.8710392009085417,2019
HS,2019,"(45,50]",Has mortgage debt,2534505.3102584747,480,5.211083421695086,1.0626839298885182,0.7427354532445475,0.9346173351770498,4.468347968450539,0.6711730133849259,4.502238997470429,0.8469845910516997,0.033891029019889926,0.8879416863570389,2019
HS,2019,"(50,55]",Has mortgage debt,3053812.782823096,647,5.3763095169674004,1.2873758156393218,0.7866262151618676,1.0250861688737705,4.589683301805533,0.5967350947804815,4.667548054143917,0.7480382410173437,0.07786475233838386,0.7124503921267544,2019
HS,2019,"(55,60]",Has mortgage debt,2969383.354540938,635,5.556347490768906,1.2609836771315936,1.1711653382600915,0.9676915671541595,4.385182152508815,0.7401567273264671,4.3828747912047135,1.1198365212368295,-0.002307361304101326,1.0699602333617588,2019
HS,2019,"(60,65]",Has mortgage debt,2657774.852264648,572,5.5931037415852325,1.2632792747492936,1.272321299652753,1.0440175270158671,4.320782441932479,0.7006365993045923,4.197885638657171,1.1684414754167107,-0.12289680327530807,1.0734794211958427,2019
HS,2019,"(65,70]",Has mortgage debt,1825987.9939659142,370,5.709614918662016,1.3275409431637375,1.5621095506676583,1.0833506404920965,4.147505367994358,0.6038321723012523,4.108130616167417,1.2548530862392158,-0.03937475182694138,1.2648120170782713,2019
HS,2019,"(70,75]",Has mortgage debt,1486142.2709849426,240,5.340915591791682,1.103536977973748,1.3407053733087724,1.0886458795943141,4.00021021848291,0.6429930960357649,4.233790296136013,1.0180517630544135,0.23358007765310365,1.0955057843813107,2019
HS,2019,"(75,80]",Has mortgage debt,1510620.6772941605,192,5.324530115330785,0.9561550045682929,1.5337274049540224,0.9646299530521412,3.790802710376763,0.8198104490509512,3.863966261003026,1.2842403305889194,0.07316355062626297,1.5606596022757517,2019
HS,2019,"(80,85]",Has mortgage debt,347213.8630190432,55,5.116190423243805,1.2934826878582801,1.6575128311886838,0.998640239622636,3.4586775920551207,0.47689007698044833,3.2686720323712324,1.3868514326376205,-0.19000555968388838,1.570219244052882,2019
HS,2019,"(85,90]",Has mortgage debt,57105.466480908,10,5.0417596544486525,0.49502361902108094,2.1496850295135213,0.1522813387139219,2.892074624935131,0.3441450811820539,2.618571084143417,0.321897882932164,-0.2735035407917142,0.2631494075780602,2019
HS,2019,"(90,95]",Has mortgage debt,30757.2266403505,5,5.3631728567269725,0.0020979610209216123,0.8167792130917304,0.13916806575220517,4.546393643635242,0.13918746822638522,5.332718793265369,0,0.7863251496301265,0.1391874682263852,2019
College,1995,"(20,25]",Has mortgage debt,125772.0938540066,30,4.675223177977564,0.9557804569667722,1.0221881921326204,0.5222563607447078,3.653034985844944,0.7052402668004312,4.8288346749159405,0.40116052983062805,1.1757996890709963,0.674984772746771,2019
College,1995,"(25,30]",Has mortgage debt,1187420.2098649915,211,4.6703584036628945,0.9222641463531129,0.17923895735355388,0.9062686492494781,4.491119446309341,0.38516614112367403,4.8590477598628405,0.511025348344223,0.36792831355349975,0.5623661718941688,2019
College,1995,"(30,35]",Has mortgage debt,1855307.840640285,378,4.841525635080359,1.0682306088757365,0.2958067251364581,0.9845030831154281,4.545718909943901,0.5584891675408337,4.838454120141067,0.7171521298726321,0.2927352101971661,0.6500308519113113,2019
College,1995,"(35,40]",Has mortgage debt,1602934.120305954,452,5.33359464358577,1.103115038450912,0.620660345003047,0.9534822545237402,4.712934298582724,0.6861714430281843,4.911463901830398,0.7366303164499293,0.1985296032476755,0.6430969541533055,2019
College,1995,"(40,45]",Has mortgage debt,2476986.7568092747,685,5.440086706855235,1.4332740580745935,0.6762259483416967,1.2573242132060027,4.763860758513538,0.5898636409651605,4.590034436699373,1.0477757564358858,-0.17382632181416555,0.9080042688808645,2019
College,1995,"(45,50]",Has mortgage debt,2405630.834841872,844,6.015899348945736,1.2696739385673566,1.0609117800089083,0.9860638778070301,4.9549875689368275,0.6708875831276074,4.744724813729493,1.0139996585590696,-0.21026275520733478,1.041234252011362,2019
College,1995,"(50,55]",Has mortgage debt,1445352.9507040163,652,5.870970126473765,1.3739444911976735,1.1204532465193537,0.9170735363151206,4.750516879954411,0.8674788474152355,4.378264820449683,1.4122910511018099,-0.3722520595047275,1.2305554148179156,2019
College,1995,"(55,60]",Has mortgage debt,520397.61218501313,371,6.7424064531675185,1.2481942588350976,1.8334487993260666,0.8909685446086214,4.908957653841452,0.7664612171656549,4.52821937471543,1.035079721791179,-0.3807382791260215,0.8862334795326151,2019
College,1995,"(60,65]",Has mortgage debt,623299.838701319,340,6.646419643874543,1.1131325816614521,1.5855952233389201,1.1231974854106086,5.060824420535623,0.816763110596919,4.13630923115227,1.3602117246105534,-0.924515189383353,1.459168612764004,2019
College,1995,"(65,70]",Has mortgage debt,344560.49905498343,178,6.481854423295996,1.7486932536564663,1.7724837878348692,1.5906729587890152,4.709370635461127,0.8485076311452369,3.831555734693924,1.4079253287647864,-0.8778149007672025,1.1484045837641883,2019
College,1995,"(70,75]",Has mortgage debt,256556.52011738982,85,5.9596647160651575,1.391357935162688,1.8429058268753666,1.281349309487314,4.11675888918979,0.7046727582628,3.897480948216835,1.3532705256845434,-0.21927794097295533,1.5545484783752317,2019
College,1995,"(75,80]",Has mortgage debt,142867.16432943728,45,6.2472188378205935,0.6603162734158733,2.315226008963164,0.33962161903258475,3.9319928288574295,0.6829781670085034,3.5691379150197116,0.7522530718244899,-0.3628549138377182,0.9057247676598539,2019
College,1995,"(80,85]",Has mortgage debt,114650.49456906375,15,5.7583914085184205,0.7305011985635258,2.4331368671374562,0.659834761830431,3.3252545413809647,0.2367737274989177,1.7607260726644987,0.4753464207500172,-1.5645284687164658,0.6045342280966035,2019
College,1998,"(20,25]",Has mortgage debt,115973.62526802358,25,4.349131052781622,1.315444750447577,0.6596290940568421,1.9451338859833798,3.6895019587247795,0.9185914720136243,4.4277555989019,0.3025425250930846,0.7382536401771208,0.7513037164361333,2019
College,1998,"(25,30]",Has mortgage debt,715246.5717763014,99,4.404704655472826,1.532942723942148,-0.04375758918475287,1.4407700813155755,4.448462244657579,0.6287196254017223,4.424338469147976,1.0456486925509025,-0.02412377550960309,0.8838352097458844,2019
College,1998,"(30,35]",Has mortgage debt,1659148.0041419603,305,5.263020245557192,1.4743386785254988,0.5857287192811381,1.2514542390724142,4.677291526276054,0.6210966826137897,5.004842098534948,0.6675944790140534,0.3275505722588944,0.6001774381303632,2019
College,1998,"(35,40]",Has mortgage debt,1952733.5814631728,533,5.532294641057277,1.1877248971372627,0.7808941095074593,0.9625786112609176,4.751400531549817,0.6975812046675134,4.971829846926221,0.715855360966705,0.22042931537640356,0.7113263056874352,2019
College,1998,"(40,45]",Has mortgage debt,2546226.009804032,763,5.935694483593532,1.1463616306155007,1.046893852418757,0.8465135224035883,4.8888006311747745,0.6875938571343001,4.910067288409395,1.0159278634650482,0.021266657234619894,0.9102699991321426,2019
